U+D687 \ttX
U+030F \textdoublegrave
U+2B19 \diamondbotblack
U+039A \upKappa
U+D764 \bfsansOmicron
U+00E6 \ae
U+2A1C \lowint
U+D776 \bfsanseta
U+D442 \itO
U+0270 \textturnmrleg
U+20E6 \textoverlaydoublevert
U+D6CD \bfmu
U+0339 \textsubrhalfring
U+295C \upharpoonrightbar
U+210B \scrH
U+2772 \lbrbrak
U+D656 \bfitsansa
U+2A9E \simgtr
U+D5C3 \sansj
U+02BD \lasp
U+D6CB \bfkappa
U+23AC \rbracemid
U+24DC \circledm
U+2ADF \shortdowntack
U+D75D \bfsansTheta
U+224A \approxeq
U+2264 \leq
U+D4C6 \scrq
U+D59C \bffrakw
U+D6E6 \itEpsilon
U+D52B \frakn
U+00B1 \pm
U+D6E5 \itDelta
U+D6AE \bfEta
U+2907 \Mapsto
U+2070 \supzero
U+2A74 \Coloneq
U+2A37 \Otimes
U+D6DC \bfepsilon
U+D5F7 \bfsansj
U+D693 \ttj
U+D6DE \bfvarkappa
U+D714 \itomega
U+2643 \jupiter
U+D6BA \bfSigma
U+2AFE \talloblong
U+2219 \vysmblkcircle
U+2273 \gtrsim
U+213F \BbbPi
U+2A63 \veedoublebar
U+2083 \subthree
U+02E8 \tonebarlow
U+24BA \circledE
U+005C \textbackslash
U+24C1 \circledL
U+232D \cylcty
U+29E1 \lrtriangleeq
U+0260 \texthtg
U+2277 \gtrless
U+031B \texthorn
U+2B21 \varhexagon
U+239B \lparenuend
U+D4C0 \scrk
U+2197 \nearrow
U+295A \leftharpoonupbar
U+D730 \bfitUpsilon
U+2990 \rbrackurtick
U+2205 \varnothing
U+2666 \vardiamondsuit
U+23AE \intextender
U+29A3 \revangle
U+D488 \bfitg
U+D753 \bfitvarphi
U+03A9 \upOmega
U+2087 \subseven
U+2A03 \bigcupdot
U+2051 \textAsterisks
U+D4BC \scrg
U+22B0 \prurel
U+2A42 \barcup
U+297A \leftarrowsubset
U+2040 \tieconcat
U+D4DC \bfscrM
U+295F \barrightharpoondown
U+27F7 \longleftrightarrow
U+D55D \Bbbl
U+2191 \uparrow
U+22D8 \lll
U+D59B \bffrakv
U+D62F \itsansn
U+D562 \Bbbq
U+D66C \bfitsansw
U+2284 \nsubset
U+2031 \textpertenthousand
U+2995 \Lparengtr
U+D7F7 \ttone
U+203C \Exclam
U+D662 \bfitsansm
U+2A94 \gesles
U+2258 \arceq
U+0327 \c
U+27C2 \perp
U+29F0 \errbardiamond
U+D7EE \bfsanstwo
U+02A0 \texthtq
U+D5F0 \bfsansc
U+0269 \textiota
U+29A6 \wideangledown
U+2A6B \simrdots
U+2A47 \capovercup
U+D44C \itY
U+D633 \itsansr
U+29E9 \downtrianglerightblack
U+D72A \bfitOmicron
U+24E9 \circledz
U+D49A \bfity
U+00F7 \div
U+2320 \inttop
U+2233 \ointctrclockwise
U+24C9 \circledT
U+031E \textlowering
U+D7AB \bfitsansbeta
